Id,Name,Authors,ISBN,Rating,RatingDistTotal,PagesNumber,PublishDate,Publisher,Description
42,Forgiving the Unforgivable,Beverly Flanigan,20322305,4.14,56,288,February 29th 1992,Wiley,"A clearheaded study of what life can do to us and possible ways to begin again. --Carl A. Whitaker, M.D., author of Midnight Musings of a Family Therapist and coauthor of The Family Crucible Women and men who have been deeply hurt by someone they love often experience a pain that spirals out to undermine their work, relationships, self-esteem, and even their sense of reali A clearheaded study of what life can do to us and possible ways to begin again. --Carl A. Whitaker, M.D., author of Midnight Musings of a Family Therapist and coauthor of The Family Crucible Women and men who have been deeply hurt by someone they love often experience a pain that spirals out to undermine their work, relationships, self-esteem, and even their sense of reality. In Forgiving the Unforgivable, author Beverly Flanigan, a leading authority on forgiveness, defines such unforgivable injuries, explains their poisonous effects, and then guides readers out of the paralyzing anger and resentment. As a Fellow of the Kellogg Foundation, Flanigan conducted a pioneering study of forgiveness, and from that study, from her clinical practice, and from her many years of teaching, researching, and conducting professional workshops and seminars, she devised a unique six-stage program, presented here. Filled with inspiring real-life examples, Forgiving the Unforgivable is both a practical and a comforting guide to recovery and healing."
43,The Angry Book,Theodore Isaac Rubin,20365659,3.62,100,198,11/1/1993,Collier Books,"Losing your temper can honestly be good for you. So contends Dr. Rubin, whose views on one of our most powerful emotions have changed millions of lives. Now available in trade paper, this bestseller reminds us that suppressed or twisted anger can lead to depression, anxiety, and a host of other illnesses."
44,How Healthy is Your Family Tree?: A Complete Guide to Tracing Your Family's Medical and Behavioral Tree,Carol Krause,20441657,4.75,4,167,12/2/2005,Fireside Books,"""How Healthy Is Your Family Tree?"" is the first-ever survival guide to the genetic revolution. This inspiring book shows the reader how to identify potential health risks hidden in one's family history, and how to chart family behavior patterns (such as anger, depression, addictions, and abuse). Author Carol Krause is living proof that this book can save lives and change futures."
45,Compassion and Self-Hate: An Alternative to Despair,Theodore Isaac Rubin,20777507,4.11,162,257,1/4/1986,Collier Books,"Self-hate is often the underlying cause of such common psychological problems as depression, obsessive-compulsive behavior, eating disorders, and drug and alcohol addiction. Teaching readers how to break self-destructive habits, this warm and sympathetic guide to personal growth is just as timely as it was when it was first published."
46,Basic Neurology,John Gilroy,23436905,4,6,373,1/1/1982,MacMillan Publishing Company,"This overview of neurology begins with a review of the neurologic examination of common conditions such as seizures and headache. The rest of the text is divided into categories of neurologic diseases and reviews of the individual disorders in each category. The classic subheadings of definition, cause, pathologic features, clinical features, diagnostic procedures, differential diagnosis, treatment, and prognosis are discussed for each entry."
47,The Masculine Self,Christopher T. Kilmartin,23636114,3.9,51,352,1/1/1994,MacMillan Publishing Company,"Significantly expanded, updated, and improved with 50% new material, this is a comprehensive review of scholarly research and theory in men's studies. No other book can approach it in its coverage of the volume of men's studies research, its provision of a theoretical context for understanding the research, and its boxed features—most of which highlight the human aspects of the subject matter. Organized in three parts, the book offers a view of masculinity from a wide variety of perspectives. The first two chapters provide an introduction to contemporary concepts of men and masculinity, as well as the scientific study of sex and gender. In the second section, these concepts are applied to the major schools of psychological theory: psychobiology, social learning, humanism/existentialism, psychoanalysis, and socioculturalism. The last part of the book summarizes ""men's issues:"" work, emotion, relationships, physical health, mental health, violence, and the changing definitions of what it means to be male in contemporary society."
48,"Deviant Behavior: Crime, Conflict, And Interest Groups",Charles H. McCaghy,23784628,3.46,13,512,1/1/1994,MacMillan Publishing Company,"Using the interest group conflict framework, this textbook examines explanations concerning the definition of deviance, the causes of crime, its measurement, organizational deviance, sexual behavior, mental health, and substance abuse. Real-world examples highlight key concepts. Particular attention"
49,Sport Psychology,Daniel L. Wann,24245127,5,4,432,3/12/1997,Pearson,"Written from a psychologist's perspective, this enlightening study offers a general overview of the application of psychology to sport settings. Examining the diverse array of issues that make up sport psychology today, the book discusses the foundations of sport psychology, explores participation in sport, covers topics related directly or indirectly to athletic performance, examines sport psychology intervention strategies, considers the social psychology of sport, and addresses the psychology of the sports fan and spectator. Unique topic coverage includes a look at research methods in sport psychology, character building in sport, issues relevant to female athletes, role anxiety, relaxation training for coaches, and much more.     For professionals in physical education and/or psychology."
50,When The Blues Won't Go Away: New Approaches To Dysthymic Disorder And Other Forms Of Chronic Low Grade Depression,Robert M.A. Hirschfeld,25518259,3,3,195,1/6/1991,MacMillan Publishing Company,"According to American Health magazine, more than five million Americans may suffer from low-grade depression that arises during a life trauma and then persists, sometimes for years. While often misdiagnosed, new research shows that proper treatment can yield dramatic results. A major book by the project director of the largest depression study ever conducted."
51,On Death and Dying,Elisabeth Kübler-Ross,25671111,4.17,24093,272,4/1/1991,Scribner Book Company,"One of the most famous psychological studies of the late twentieth century,  On Death and Dying  grew out of an interdisciplinary seminar on death, originated and conducted by Dr. Elisabeth Kübler-Ross. In  On Death and Dying,  Dr. Kübler-Ross first introduced and explored the now-famous idea of the five stages of dealing with death: denial and isolation, anger, bargaining, depression, and acceptance. With sample interviews and conversations, she gives the reader a better understanding of how imminent death affects the patient, the professionals who serve the patient, and the patient's family, bringing hope, solace, and peace of mind to all involved."
52,Grandpa's Mountain,Carolyn Reeder,27758117,3.88,68,176,10/31/1991,Aladdin,"Eleven-year oldCarrie loves spending summers with her grandparents in the Blue Ridge Mountains of Virginia. Their farm with a country storeand a lunchroom, is safe and far removed from the terrible depression that grips most of the nation. But this summer, something is happening that will change the lives of all the people who have called the mountains home for generations. The government is creating a national park buying all the land and houses that are in the way. Grandpa is outraged, vowing never to move. Grandma is secretly preparing for the worst. The neighbors are turning against one another. And Carrie, who wants to believe Grandpa will win his battle, is very worried that she has decieved him in a way that may make him lose."
53,Glencoe Administering Medications,Donna F. Gauwitz,28048768,4.33,6,392,3/1/2000,McGraw-Hill Science/Engineering/Math,"This text provides the fundamentals of drug administration, drug laws, principles of pharmacology, drug handling procedures, physician's orders, routes of administration, dosage calculation and drug actions related to specific body systems and disorders. Caution boxes provide critical information on common drug administration errors and Patient Education boxes teach and reinforce communication skills."
54,Your Child's Emotional Health-Early Years,Philadelphia Child Guidance Center,28600010,3,1,192,1/1/1995,MacMillan Publishing Company,"Wise, authoritative, and indispensable, here is the first encyclopedic family reference on children's emotional well-being. In nontechnical language, it covers issues relevant to each age group from birth to late teens: toilet training and day care, sibling rivalry and separation anxiety, sexuality, dreaming, discipline, and more."
55,Your Child's Emotional Health-Middle Years,Philadelphia Child Guidance Center,28600029,3,1,160,1/1/1995,MacMillan Publishing Company,"In ""Your Child's Emotional Health: The Middle Years,"" the Philadelphia Child Guidance Center takes parents through the often confusing stages in their child's emotional development from age six to age thirteen. ""The Middle Years"" provides a timeline of psychological growth and then goes on to discuss the most important issues parents must deal with, from sexuality, fear, discipline, and sibling rivalry, to chores, depression, school, and friends."
56,Your Child's Emotional Health,Jack Maguire,28600037,4,1,160,2/15/1995,John Wiley & Sons,"The country's leading child psychological center offers authoritative guidance to adolescent behavior and emotional development, addressing such topics as popularity, depression, discipline, sexuality, drug abuse, running away, overeating, and school, and various problems."
57,10 Minute Guide to Upping Your SAT Scores,Lisa Bartl,28606175,3,1,134,10/1/1995,MacMillan Publishing Company,"From the most trusted name in college guides, here are four pain-relieving, easy-to-use, information-packed books for busy people who need fast answers. These inviting references contain all the tips and essential information that anxiety-ridden college-bound students and their parents are looking for. Presented in a highly accessible, visual, fun-to-read format, the 10 Minute Guides will grab and hold teens' attention.Just the guide the overwhelmed student is looking for! Full of well-tested advice on how to improve test scores including pointers on guessing, tips on pacing, and hints and strategies for setting and achieving target scores."
58,The Complete Idiot's Guide to Speaking in Public with Confidence,Laurie E. Rozakis,28610385,3,1,352,1/2/1996,Alpha Books,"Just what the doctor ordered for the anxiety-ridden speaker-to-be, this indispensable, fun-to-read reference contains solid information, tips, alerts, and more to help the average person prepare and give powerful presentations. With just the right touch and full of wit, this is the book to read and read again before speaking in public."
59,Stop Worrying,Frank Joe Bruno,28613015,2,2,144,3/7/1997,ARCO,"For everyone who has ever wanted to kick a bad habit, overcome self-destructive behavior and start living a happier, more rewarding life, these self-motivating little books are just what the doctor ordered! Specially created by a renowned psychotherapist, each one offers a step-by-step, do-it-yourself program for conquering a particular personal problem such as depression or loneliness. In just a few short chapters, readers learn the source of the problem and how to banish it forever. Sized just right for pocket or purse, ""Life's Little Keys"" are enlivened with amusing illustrations and real-life success stories from the author's personal files. With these upbeat guides, readers get everything they need to conquer their emotional hang-ups, banish unwanted behaviors and get more joy out of life. Stop Worrying, banish anxiety and start enjoying your life."
60,Conquer Shyness,Frank Joe Bruno,28613031,2,1,144,1/5/1998,ARCO,"Assert yourself -- and take charge of your life. Quick fixes for life's most universal problems-- in a handy take-along size! For everyone who has ever wanted to kick a bad habit, overcome self-destructive behavior -- and start living a happier, more rewarding life, these self-motivating little books are just what the doctor ordered! Specially created by a renowned psychotherapist, each one offers a step-by-step, do-it-yourself program for conquering a particular personal problem such as depression or loneliness. In just a few short chapters, readers learn the source of the problem -- and how to banish it forever. Sized just right for pocket or purse, ""Life's Little Keys"" are enlivened with amusing illustrations and real-life success stories from the author's personal files. With these upbeat guides, readers get everything they need to conquer their emotional hang-ups, banish unwanted behaviors -- and get more joy out of life. Frank J. Bruno, Ph.D., is a counselor, therapist, and teacher and the author of twelve books in the psychology field."
61,"The New Psychiatry: How Genes and Neurotransmitters Shape Your Mind, Personality, and Mental Health",Larry J. Siever,28615441,3.5,4,257,1/1/1997,Stackpole Books,"Written by distinguished psychiatrist Dr. Larry Siever and based on his years of leading-edge research at such pioneering institutions as the National Institute of Mental Health and Mount Sinai Medical Center, the book details the ways in which science has attempted to define and treat brain disorders through the ages. It examines the longtime scientific focus on studying the amount of neurotransmitters released (such as the much-publicized dopamine and serotonin) and explains why scientists need to shift their attention to examining the ways in which neurotransmitters work in order to gain a clearer understanding of the brain's dysfunctional mechanisms. Groundbreaking in its implications, The New View of Self compellingly demonstrates the ways in which both environmental stresses and inherited tendencies contribute to psychological problems. It effectively silences the long-standing debates over ""talk therapies"" or ""drug therapies, "" affirming that both types of therapy are needed to resolve mental-health disorders. Examples of Dr. Siever's landmark research and fascinating case studies illuminate the text and highlight the various disorders and their treatments."
62,Mind Over Golf: How to Use Your Head to Lower Your Score,Richard H. Coop,28616839,4.07,27,210,1/4/1997,Wiley,"Mind Over Golf Whether you struggle to break 100 or consistently break par, you've already discovered that golf is the most mentally demanding of all sports. Dr. Richard Coop, one of the foremost sports psychologists in the country, has developed a unique mental approach to the game, helping both skilled pros and beginning amateurs alike to play better. Mind Over Golf examines all the demanding psychological challenges of golf and explains in detail how to conquer them. Golfers have discovered that there are ways to lower their scores that go beyond getting tips on their swing and stance. In order to play better, you have to find the key that allows your natural athletic ability to come to the fore, without being impeded by anxiety about making a poor shot. By following Dr. Coop's principles and ideas you'll be in the strongest possible position, both physically and mentally, to put your best swing on each shot. As Payne Stewart says in his foreword to Mind Over Golf, ""Not everyone can swing like a tour pro, but most everyone has it within himself or herself to think like one, and Dr. Coop lays the foundation for that within these pages."
63,Answers from Within: Spiritual Guidelines for Managing Setbacks in Work and Life,William J. Byron,28617533,4.17,6,272,4/24/1998,MacMillan Publishing Company,"At one time or another, everyone encounters serious problems at work as well as in their personal life. Some people experience them simultaneously. This circumstance is especially true today because of the complexity and uncertainty of corporate life, the demands of a fast-paced society, and the constant assault from various quarters on traditional and personal family values. Searching for solutions in this turbulent environment can be a daunting and frightening task. Yet, many people find them and survive these problems by relying on their faith and the spiritual values that give them hope against all odds. Answers from Within, by William J. Byron, S.J., a Jesuit priest, shows people of all religious beliefs how to bring forth the power of their faith and values when experiencing serious workplace or personal problems. Written in a hopeful uplifting style, Answers from Within addresses virtually almost every major problem one could encounter in his or her work and personal life betrayal, criticism, dishonesty, failure, prejudice, family crises, illness, depression, aged parents, and more. In addition, it provides numerous real world examples and prescriptions for dealing with each problem through application of the author s nine Spiritual Pillars of Faith. This powerful book of hope is sure to touch the heart and mind of every reader who practices their faith or seeks to bring faith based values into their lives."
64,The Unofficial Guide to Investing,Lynn O'Shaughnessy,28624580,3.6,5,612,4/12/1999,John Wiley & Sons,"With the recent fluctuations in the market, people are becoming more aware of the need to become financially savvy. Yet financial fears still abound: fear of the market crashing, fear of making poor investment choices, fear of not being able to send their kids to college.  The Unofficial Guide to Investing  demystifies the range of investment options available today and provides practical tools that will help readers make financially sound decisions. For the financial bystander who is timid about investing and confused by the buzzwords, this book explains where to begin, how to start researching without feeling awkward, how to find your comfort zone, how to invest online, how to plan for retirement, and how to avoid getting burned. It goes beyond just comparing mutual funds to relieving the anxiety surrounding the issue of investing."
65,"The Complete Idiot's Guide to Reflexology: CIG to Reflexology, The",Frankie Avalon Wolfe,28631870,3.44,27,416,7/1/1999,Alpha,"You're no idiot, of course. You know echinacea can help a runny nose, massage is good for aching back muscles, and yoga can help relax a tired body. But when it comes to reflexology--the practice of healing the body by applying pressure to different parts of the feet--you'd rather just soak your tired dogs in hot water and call it a day. Don't feel so de-feeted just yet! The Complete Idiot's Guide to Reflexology is a fun, easy-to-follow, illustrated guide to massaging your own (and others) feet to treat back pain, headaches, upset stomachs, colds, allergies, stress, depression, and more. In this Complete Idiot,s Guide you'll learn how to:"
66,Complete Idiot's Guide to 20th Century History,Alan Axelrod,28633857,4,12,352,1/6/1999,Alpha," You're no idiot, of course. You know that over the last 100 years, we've seen it all--world war, depression, assassinations, moon landings, an impeachment, and more. But when it comes to really understanding the significance of these events, you feel like you're scaling Mount Rushmore itself. Don't jump off Roosevelt's nose! With The Complete Idiot,s Guide to 20th-Century History, you'll discover the most significant people, ideas, and events that shaped this century--in terms anyone can understand. In this Complete Idiot's Guide, you get: "
67,The Complete Idiot's Guide to Psychology: CIG to Psychology,Joni E. Johnston,28636384,3.7,211,480,1/11/1999,Alpha,"This fascinating, straightforward guide to psychology shows you exactly why the mind matters. Clinical Psychologist Joni Johnston explains how your thoughts influence your disposition and affect your body, helping you develop a greater understanding of yourself and the people around you. The contents include a complete tour of the nervous system, thoughtful explanations of mental health issues and their treatments, and strategies on how to use positive psychology to make your life better."
68,The Complete Idiot's Guide to Personality Profiles,Allen R. Miller,28638158,4,9,384,9/8/2000,Alpha,"This book will introduce you to personality theory and development. It discusses personality tests and their interpretation, personality disorders, how your personality determines your work, job, and love life, and what you can do to improve your personality."
69,"The Complete Idiot's Guide to Understanding the Brain: CIG to Understanding the Brain, The",Arthur S. Bard,28643100,4,35,360,1/7/2002,Alpha,"You're no idiot, of course. You know your own mind, but when it comes to understanding what's really going on in your head - all those synapses, all those neurones - you feel like you're just about brain-dead!  Don't let it unnerve you! 'The Complete Idiot's Guide to Understanding the Brain' proves that you don't need to be a genius to be in the know, and gives you losts of fun stuff to think about, too. In this 'Complete Idiot's Guide', you get: -The history of human knowledge of the brain. -Insights into what causes brain disorders and how best to treat them. -Thoughtful tips about the many different ways we learn new information."
70,The Energy Balance Diet,Joshua Rosenthal,28643585,3.93,15,310,1/9/2002,Alpha,-- The protein diet bubble is about to burst Studies are reporting every month why today's most popular diets are so bad for you  -- New food groups high in plant nutrition and fiber give an original and easy way to control wild carbohydrate cravings.</
71,"Straight, No Chaser: The Life and Genius of Thelonious Monk",Leslie Gourse,28650328,3.79,109,340,10/1/1998,Schirmer Trade Books,"Thelonious Monk was one of jazz's legendary figures. His life included a long battle with depression and mental illness that finally led to a withdrawal from recording and music-making. This book tells the story of Monk's life, based on interviews with musicians who worked with him."
72,Teaching Kids to Sing,Kenneth H. Phillips,28717953,4,36,416,1/4/1997,Schirmer,"Singing is a basic means of human expression. From the spontaneous play songs of childhood to the polished recitals of concert artists, singing fulfills a human need to express thoughts and feelings. Moreover, music teachers have long agreed that children can and should learn to sing. It is the process that remains open to question, as teachers judge whether it is appropriate to train young voices and, if so, which approach is most beneficial. Teaching Kids to Sing is the first research-based text to present a systematic approach to vocal techniques designed exclusively for the needs of the young singer. It synthesizes the most recent findings in the literature and presents them in a practical and usable format. Helping teachers of young singers to understand the nature of the child voice and the adolescent voice, the book provides a new vocal-technique method for grades 1-12. The book is organized into two parts. Part I, ""The Young Singer, "" is an introduction to 90 sequential singing exercises detailed in Part II. Here, Phillips provides historical and philosophical perspectives on procedures of vocal training for children and adolescents. Included are discussions on the physiology of the singing voice, proper vocal techniques, the vocal parameters of pitch, registers, and range, and a special section on common vocal disorders and proper vocal hygiene. Part II, ""Vocal Technique for Young Singers, "" examines aspects of vocal technique by grouping the exercises into five major areas: respiration, the foundation for good singing technique; phonation, developing children's speaking voices as a natural part of voice training; resonant tone production; diction, emphasizing uniform vowels and rapid consonant articulation; and expression, studying how phrasing, dynamic and tempo variation, and mood lead to meaningful interpretation. Designed as a step-by-step vocal-technique method for children and adolescents, Teaching Kids to Sing will lead students through a develop"
73,Music Therapy In The Treatment Of Adults With Mental Disorders: Theoretical Bases And Clinical Interventions,Robert F. Unkefer,28730321,4.33,15,225,12/1/1990,MacMillan Publishing Company,"Written by seven registered music therapists, this text aims to provide an introduction to the use of music in treating adult mental disorders. It is designed at once as a reference work for research, a treatment manual for clinicians, and a text for advanced undergraduate and graduate students."
74,100 Missions North: A Fighter Pilot's Story of the Vietnam War,Ken Bell,28810120,4.18,116,314,3/1/1993,Potomac Books,"In  100 Missions North , Ken Bell recounts the harrowing sorties that he and his comrades flew in F-105 Thunderchiefs, the famous ""Thud"", in 1966-67, when pilots faced a 50 percent loss rate. What was it like to face these odds day after day? We learn that men sustained by faith in each other and joined by the unique bonds of combat can overcome anxiety, fear, and even terror to achieve common goals."
75,Encyclopedia of Sleep and Dreaming,"Mary A., Ed. Carskadon",28970853,4,4,703,1/1/1995,Gale Cengage,"This volume covers five subject areas: sleep research; sleep disorders; dream analysis; dream disorders; and biographies. Entries contain knowledge on such issues as jet lag, amnesia, depression and creative dreaming."
76,The Birth and Death of Meaning: An Interdisciplinary Perspective on the Problem of Man,Ernest Becker,29021901,4.38,591,228,August 1st 1962,Free Press,"Uses the disciplines of psychology, anthropology, sociology and psychiatry to explain what makes people act the way they do."
77,The Search For The Real Self: Unmasking The Personality Disorders Of Our Age,James F. Masterson,29202922,4,204,256,1/3/1990,Free Press,"Personality disorders - borderline, narcissistic and schizoid - have become the classic psychological disorders of our age. Outwardly successful, charming and powerful, personality-disordered individuals have long confounded their colleagues, family, lovers and employees - as well as mental health professionals. The author helps the reader understand them. After describing how the healthy real self develops and functions, he explains what can go wrong. Drawing on case histories, he shows how the false self behaves in relationships and on the job, and then delineates appropriate treatments, offering real hope for cure."
78,The Selected Melanie Klein,Melanie Klein,29214815,4,87,256,3/8/1989,Free Press,"Gathers writings by the Viennese psychoanalyst concerning infant analysis, Oedipal conflicts, anxiety situations, symbol formation, and envy."
79,The Selected Melanie Klein,Juliet Mitchell,29214823,4,87,256,2/8/1988,Free Press,"Gathers writings by the Viennese psychoanalyst concerning infant analysis, Oedipal conflicts, anxiety situations, symbol formation, and envy."
80,Out of Darkness: Exploring Satanism and Ritual Abuse,David K. Sakheim,29276519,3.56,16,308,1/11/1994,Lexington Books,"A revealing investigation of satanism in America. The authors bring together leading researchers specializing in forensic psychiatry, multiple personality and dissociative disorders, traumatic stress, and religious studies, as well as an FBI agent and two survivors of ritual abuse, to offer a balanced look at a deeply troubling phenomenon."
81,Voltaire's Bastards: The Dictatorship of Reason in the West,John Ralston Saul,29277256,4.05,909,640,2/9/1993,Free Press,"When the Age of Reason swept away the priests and courtesans of the feudal world, did a better society take its place? John Ralston Saul has doubts. A former Canadian oil executive-turned-novelist and amateur philosopher, Saul believes the ""rational society"" that emerged has created unprecedented levels of state violence and social disintegration that are now collapsing in on themselves. In his landmark book Voltaire's Bastards, Saul argues that the 20th century, which saw the final victory of pure reason in power, would shock and upset Voltaire and other thinkers of the 18th century who led the fight against feudalism. ""Were Voltaire to appear today, he would be outraged by the new structures,"" he writes.  Voltaire's Bastards is the first volume in a best-selling trilogy that won international acclaim with its sweeping frontal assault on the tenets of Western thought. Saul, husband of Governor General of Canada Adrienne Clarkson, argues that the Age of Reason, now nearing 500 years old, displaced medieval society with a reason-based state-corporate structure in which there are no values--and power became the new religion. Reason without values left the citizenry confused and yearning for meaning, Saul writes, and the new ideology was exploited by the ambitious to seize and justify power. ""Knowledge became the currency of power,"" he says. ""The most common characteristics of our elites are cynicism, rhetoric and the worship of both ambition and power. These were also the characteristics of eighteenth-century courtesans."" Saul's answer is simple: rigorous skepticism. He argues that those who hold power fear nothing more than criticism and being doubted. ""The secret… is that we must alter our civilization from one of answers to one which feels satisfaction, not anxiety, when doubt is established.… Our desperate need is to unify the individual through questions."" -- Alex Roslin "
82,Helping Your Child Cope with Depressions and Suicidal Thoughts,Tonia K. Shamoo,29284554,3.75,4,180,1/29/1993,John Wiley & Sons,"Children are under enormous pressure to succeed and to be popular - and they pay an awful price for success, as rising depression and suicide rates show. This book gives parents the information, advice and support they need to help protect the lives of their children."
83,Disorder And Decline: Crime And The Spiral Of Decay In American Neighborhoods,Wesley G. Skogan,29291518,4.4,5,218,1/4/1990,Free Press,"""Crime, disorder, and decay symbolize the decline of America's inner cities. Skogan's book is theoretically acute, methodologically sophisticated, and politically astute. It should be required reading for every urban sociologist, policy planner, and public official.""--Jerome H. Skolnick, University of California, Berkeley  ""Panhandling, graffiti, prostitution, abandoned cars and buildings, and junk-filled lots are evidence of neighborhood disorder and decline. In this absorbing and valuable study, Skogan discusses the implications of disorder and skillfully analyzes experimental efforts undertaken to confront it in several American cities.""--Gilbert Geis, University of California, Irvine  ""This timely book not only documents the relationship between disorder and neighborhood decline, but provides a cogent analysis of the currently favored solutions to problems such as community policing and citizen self-help.""--Dr. Thomas A. Reppetto, President, Citizens Crime Commission of New York City"
84,Applied Statistics for Public Administration,Gerald M. Meier,30193788,3.33,3,512,12/1/1996,Harcourt Brace College Publishers,"The Third Edition of Meier and Brudney's Applied Statistics for Public Administration provides comprehensive coverage of the major statistical and analytical tools you'll need as a public manager. The book also fully meets the NASPAA standards for methodology in masters programs in public affairs and administration. In an easy-to-read, applied format, the book focuses on practical problems in the public management arena, and its step-by-step explanations help you replace anxiety about statistics with an appreciation for powerful quantitative techniques. Using problems, exercises, and examples taken from the public administration field, you, as a public manager, will see how useful statistics can be - now and in the future."
85,The Protestant Ethic and the Spirit of Capitalism,Max Weber,43310680,3.9,10601,292,1/1/1976,Allen & Unwin Australia,"The Protestant ethic — a moral code stressing hard work, rigorous self-discipline, and the organization of one's life in the service of God — was made famous by sociologist and political economist Max Weber. In this brilliant study (his best-known and most controversial), he opposes the Marxist concept of dialectical materialism and its view that change takes place through ""the struggle of opposites."" Instead, he relates the rise of a capitalist economy to the Puritan determination to work out anxiety over salvation or damnation by performing good deeds — an effort that ultimately discouraged belief in predestination and encouraged capitalism. Weber's classic study has long been required reading in college and advanced high school social studies classrooms."
86,Aliens and Alienists: Ethnic Minorities and Psychiatry,Roland Littlewood,44453175,4.06,16,334,1/1/1989,Allen & Unwin Australia,"In this book two psychiatrists assess the psychological consequences of migration and prejudice for groups as diverse as West Indians, Turkish Cypriots and Hasidic Jews. The authors conclude that mental illness can be an intelligible response to disadvantage and prejudice."
87,The Paradox of Choice: Why More Is Less,Barry Schwartz,60005688,3.85,27628,288,6/1/2004,Ecco,"Whether we're buying a pair of jeans, ordering a cup of coffee, selecting a long-distance carrier, applying to college, choosing a doctor, or setting up a 401(k), everyday decisions—both big and small—have become increasingly complex due to the overwhelming abundance of choice with which we are presented.  As Americans, we assume that more choice means better options and greater satisfaction. But beware of excessive choice: choice overload can make you question the decisions you make before you even make them, it can set you up for unrealistically high expectations, and it can make you blame yourself for any and all failures. In the long run, this can lead to decision-making paralysis, anxiety, and perpetual stress. And, in a culture that tells us that there is no excuse for falling short of perfection when your options are limitless, too much choice can lead to clinical depression.  In  The Paradox of Choice , Barry Schwartz explains at what point choice—the hallmark of individual freedom and self-determination that we so cherish—becomes detrimental to our psychological and emotional well-being. In accessible, engaging, and anecdotal prose, Schwartz shows how the dramatic explosion in choice—from the mundane to the profound challenges of balancing career, family, and individual needs—has paradoxically become a problem instead of a solution. Schwartz also shows how our obsession with choice encourages us to seek that which makes us feel worse.  By synthesizing current research in the social sciences, Schwartz makes the counter intuitive case that eliminating choices can greatly reduce the stress, anxiety, and busyness of our lives. He offers eleven practical steps on how to limit choices to a manageable number, have the discipline to focus on those that are important and ignore the rest, and ultimately derive greater satisfaction from the choices you have to make."
88,A Walk in the Rain with a Brain,Edward M. Hallowell,60007311,4.04,76,32,4/9/2006,HarperCollins,"Each brain finds its own special way -- that's the message in this delightful, colorful story by America's foremost expert on learning and childhood development.  Edward Hallowell, M.D., is a noted psychiatrist and teacher and a leading authority on attention deficit/hyperactivity disorder. At many of his lectures worldwide he has read a story he wrote for children about how each person's brain is unique -- and it has resonated among the thousands of parents, teachers, and others who have heard it.   A Walk in the Rain with a Brain  is the illustrated version of that story. In it, a little girl named Lucy is making her way down a rainy sidewalk when she spies, of all things, a brain -- Manfred, called Fred -- sitting forlornly in a puddle. The courtly cerebrum asks Lucy for help getting home, and as they walk along she worries that she's not smart enough. ""Everyone's smart!"" explains Fred. ""You just need to find out at what!"" Fred reassures her that each child learns and thinks differently -- and that every child has special talents.  Charming illustrations and a funny, whimsical story teach children to play and learn in order to find the strengths they have -- and a discussion guide at the end gives parents and educators the background support they need in order to help children understand and discover the sparkling individuality of their minds."
89,Beating the Success Trap: Negotiating for the Life You Really Want and the Rewards You Deserve,Ed  Brodow,60008830,3.71,7,268,6/1/2004,HarperResource,"Invites readers to redefine traditional beliefs about success, linking success misperceptions to trends in depression, substance abuse, and violence and explaining how to refocus one's personal energy in order to achieve a satisfying career and lifestyle based on true needs. Reprint."
90,Puppy Parenting: Everything You Need to Know About Your Puppy's First Year,Jan Greye,60012609,3.71,21,224,6/7/2004,Harper Perennial,"They are rambunctious, don't listen, make a mess,destroy your belongings, and never clean up after themselves. No, not children-puppies!  We may be your baby now, but if you want him to grow up to be your best friend, it's going to take some preparation. From the time he's just a twinkle in your eye to the end of the first year,  Puppy Parenting  helps you raise a happy, healthy, well-behaved puppy.  Jan Gteye and Gail Smith -- aka the Dog Divas of Beverly hills -- have been helping to nurture pampered puppies in the 90210 zip code for more than sixteen years and are truly the best puppy caregivers around. Now they've gathered all the information they've learned over the years and written the ultimate guide to bringing your puppy up right.  In  Puppy Parenting,  Jan and Gail guide you through all the developmental and behavioral stages of your puppy's first year:     Bringing baby home -- 1 to 4 months:  getting his shots, learning his language, and dealing with separation anxiety, teething, and grooming   The brat zone-5 to 7 months:  sending him to school, deciding whether or not to neuter, keeping him safe, socializing him, and determining the right diet for him   Young adult -- 8 to 12 months:  dealing with his teenage months, traveling with him, learning games that are fun to play and will help with his development  Puppy Patenting  contains everything a parent needs to know:   Choosing the right breed for your personality and lifestyle Finding a reputable breeder or picking the perfect pound pup Preparing your home for the new arrival: buying everything you need (and nothing you don't), puppyproofing your home, and getting your family ready Housebreaking: crate, paper, and tether training -- and what to do when mistakes happen Training techniques: how to get your pup to listen -- and what to do when he doesn't Keeping puppy healthy -- and when to call a vet Complete with all the information you need to make it through the first year,  Puppy Patenting  is every proud puppy parent's bible."
